seed,solucion,f1_promedio_ponderado_km,f2_distancia_maxima_km,f3_numero_centros,indices_centros,centros
0,25,15.66796859227707,146.150389,6,"[6, 7, 11, 21, 32, 34]","['Camargo', 'Casas', 'González', 'Matamoros', 'Río Bravo', 'San Fernando']"
0,89,15.911553579123666,129.804564,6,"[7, 11, 21, 24, 32, 34]","['Casas', 'González', 'Matamoros', 'Miguel Alemán', 'Río Bravo', 'San Fernando']"
0,7,16.0940592536933,128.460678,6,"[7, 11, 21, 23, 32, 34]","['Casas', 'González', 'Matamoros', 'Mier', 'Río Bravo', 'San Fernando']"
2,1,16.226991672967277,128.460678,6,"[7, 11, 13, 21, 32, 34]","['Casas', 'González', 'Guerrero', 'Matamoros', 'Río Bravo', 'San Fernando']"
4,60,16.285446396090073,152.051734,6,"[0, 6, 11, 21, 32, 34]","['Abasolo', 'Camargo', 'González', 'Matamoros', 'Río Bravo', 'San Fernando']"
4,54,16.441338471857282,146.150389,6,"[6, 11, 21, 29, 32, 34]","['Camargo', 'González', 'Matamoros', 'Padilla', 'Río Bravo', 'San Fernando']"
4,69,16.684923458703878,133.161241,6,"[11, 21, 24, 29, 32, 34]","['González', 'Matamoros', 'Miguel Alemán', 'Padilla', 'Río Bravo', 'San Fernando']"
4,19,16.76532117924259,129.804564,6,"[11, 12, 21, 24, 32, 34]","['González', 'Güémez', 'Matamoros', 'Miguel Alemán', 'Río Bravo', 'San Fernando']"
0,37,16.947826853812227,125.23272,6,"[11, 12, 21, 23, 32, 34]","['González', 'Güémez', 'Matamoros', 'Mier', 'Río Bravo', 'San Fernando']"
2,45,17.080759273086198,125.23272,6,"[11, 12, 13, 21, 32, 34]","['González', 'Güémez', 'Guerrero', 'Matamoros', 'Río Bravo', 'San Fernando']"
0,26,17.49530944265213,122.698237,6,"[11, 21, 23, 32, 34, 40]","['González', 'Matamoros', 'Mier', 'Río Bravo', 'San Fernando', 'Victoria']"
0,10,17.628241861926107,106.008269,6,"[11, 13, 21, 32, 34, 40]","['González', 'Guerrero', 'Matamoros', 'Río Bravo', 'San Fernando', 'Victoria']"
15,26,18.04728322627993,116.83644,6,"[11, 21, 26, 32, 34, 40]","['González', 'Matamoros', 'Nuevo Laredo', 'Río Bravo', 'San Fernando', 'Victoria']"
15,62,18.98250616729979,106.008269,6,"[11, 21, 26, 31, 34, 40]","['González', 'Matamoros', 'Nuevo Laredo', 'Reynosa', 'San Fernando', 'Victoria']"
25,57,19.423987358167697,122.698237,6,"[11, 21, 23, 25, 32, 34]","['González', 'Matamoros', 'Mier', 'Miquihuana', 'Río Bravo', 'San Fernando']"
26,4,19.55691977744167,110.47534,6,"[11, 13, 21, 25, 32, 34]","['González', 'Guerrero', 'Matamoros', 'Miquihuana', 'Río Bravo', 'San Fernando']"
25,20,19.975961141795498,116.83644,6,"[11, 21, 25, 26, 32, 34]","['González', 'Matamoros', 'Miquihuana', 'Nuevo Laredo', 'Río Bravo', 'San Fernando']"
25,17,20.911184082815346,110.47534,6,"[11, 21, 25, 26, 31, 34]","['González', 'Matamoros', 'Miquihuana', 'Nuevo Laredo', 'Reynosa', 'San Fernando']"
26,84,21.174571393224596,106.008269,6,"[11, 13, 32, 34, 39, 40]","['González', 'Guerrero', 'Río Bravo', 'San Fernando', 'Valle Hermoso', 'Victoria']"
10,87,23.739289535964918,122.698237,6,"[9, 11, 18, 21, 23, 32]","['Cruillas', 'González', 'Llera', 'Matamoros', 'Mier', 'Río Bravo']"
6,89,23.8722219552389,111.114446,6,"[9, 11, 13, 18, 21, 32]","['Cruillas', 'González', 'Guerrero', 'Llera', 'Matamoros', 'Río Bravo']"
13,63,24.291263319592716,116.83644,6,"[9, 11, 18, 21, 26, 32]","['Cruillas', 'González', 'Llera', 'Matamoros', 'Nuevo Laredo', 'Río Bravo']"
10,42,28.098127496635513,106.008269,6,"[4, 11, 13, 18, 21, 32]","['Burgos', 'González', 'Guerrero', 'Llera', 'Matamoros', 'Río Bravo']"
13,39,28.643647923691564,106.008269,6,"[11, 13, 18, 29, 32, 34]","['González', 'Guerrero', 'Llera', 'Padilla', 'Río Bravo', 'San Fernando']"
6,67,28.694448595763873,106.008269,6,"[11, 13, 29, 32, 34, 42]","['González', 'Guerrero', 'Padilla', 'Río Bravo', 'San Fernando', 'Xicoténcatl']"
