seed,solucion,f1_promedio_ponderado_km,f2_distancia_maxima_km,f3_numero_centros,indices_centros,centros
0,79,15.293116481225146,80.642886,10,"[2, 6, 7, 21, 26, 27, 32, 34, 35, 40]","['Altamira', 'Camargo', 'Casas', 'Matamoros', 'Nuevo Laredo', 'Nuevo Morelos', 'Río Bravo', 'San Fernando', 'San Nicolás', 'Victoria']"
0,80,39.42942397172008,89.54682,7,"[7, 11, 14, 16, 21, 26, 35]","['Casas', 'González', 'Gustavo Díaz Ordaz', 'Jaumave', 'Matamoros', 'Nuevo Laredo', 'San Nicolás']"
0,81,41.47897858696889,146.150389,4,"[6, 22, 32, 42]","['Camargo', 'Méndez', 'Río Bravo', 'Xicoténcatl']"
0,82,27.985636966192395,129.804564,5,"[7, 11, 24, 32, 34]","['Casas', 'González', 'Miguel Alemán', 'Río Bravo', 'San Fernando']"
0,83,25.224331302763414,69.722158,10,"[2, 5, 6, 7, 11, 26, 27, 32, 34, 41]","['Altamira', 'Bustamante', 'Camargo', 'Casas', 'González', 'Nuevo Laredo', 'Nuevo Morelos', 'Río Bravo', 'San Fernando', 'Villagrán']"
0,84,27.11454894244145,99.762503,7,"[4, 11, 14, 21, 26, 32, 40]","['Burgos', 'González', 'Gustavo Díaz Ordaz', 'Matamoros', 'Nuevo Laredo', 'Río Bravo', 'Victoria']"
0,85,15.808368538913548,72.007396,10,"[2, 7, 21, 24, 26, 27, 32, 34, 40, 41]","['Altamira', 'Casas', 'Matamoros', 'Miguel Alemán', 'Nuevo Laredo', 'Nuevo Morelos', 'Río Bravo', 'San Fernando', 'Victoria', 'Villagrán']"
0,86,15.977559267282226,69.788658,10,"[2, 5, 7, 21, 24, 26, 27, 32, 34, 41]","['Altamira', 'Bustamante', 'Casas', 'Matamoros', 'Miguel Alemán', 'Nuevo Laredo', 'Nuevo Morelos', 'Río Bravo', 'San Fernando', 'Villagrán']"
0,87,27.50163116635733,69.722158,9,"[2, 5, 7, 24, 26, 32, 34, 41, 42]","['Altamira', 'Bustamante', 'Casas', 'Miguel Alemán', 'Nuevo Laredo', 'Río Bravo', 'San Fernando', 'Villagrán', 'Xicoténcatl']"
0,88,15.260465403002506,99.762503,8,"[4, 6, 11, 21, 26, 32, 34, 40]","['Burgos', 'Camargo', 'González', 'Matamoros', 'Nuevo Laredo', 'Río Bravo', 'San Fernando', 'Victoria']"
0,89,15.911553579123666,129.804564,6,"[7, 11, 21, 24, 32, 34]","['Casas', 'González', 'Matamoros', 'Miguel Alemán', 'Río Bravo', 'San Fernando']"
0,90,4.080671554817162,129.804564,10,"[2, 7, 11, 21, 22, 24, 31, 32, 34, 39]","['Altamira', 'Casas', 'González', 'Matamoros', 'Méndez', 'Miguel Alemán', 'Reynosa', 'Río Bravo', 'San Fernando', 'Valle Hermoso']"
0,91,12.045891782517742,129.804564,7,"[7, 11, 21, 24, 32, 34, 39]","['Casas', 'González', 'Matamoros', 'Miguel Alemán', 'Río Bravo', 'San Fernando', 'Valle Hermoso']"
0,92,8.905325283932356,129.804564,8,"[7, 11, 21, 22, 24, 32, 34, 39]","['Casas', 'González', 'Matamoros', 'Méndez', 'Miguel Alemán', 'Río Bravo', 'San Fernando', 'Valle Hermoso']"
0,93,6.0436551302018975,129.804564,9,"[7, 11, 21, 22, 24, 31, 32, 34, 39]","['Casas', 'González', 'Matamoros', 'Méndez', 'Miguel Alemán', 'Reynosa', 'Río Bravo', 'San Fernando', 'Valle Hermoso']"
0,94,15.63553551131836,73.454405,10,"[2, 7, 14, 21, 26, 27, 32, 34, 40, 41]","['Altamira', 'Casas', 'Gustavo Díaz Ordaz', 'Matamoros', 'Nuevo Laredo', 'Nuevo Morelos', 'Río Bravo', 'San Fernando', 'Victoria', 'Villagrán']"
0,95,38.665712558533095,87.858692,8,"[1, 5, 7, 11, 14, 26, 32, 35]","['Aldama', 'Bustamante', 'Casas', 'González', 'Gustavo Díaz Ordaz', 'Nuevo Laredo', 'Río Bravo', 'San Nicolás']"
0,96,8.614259057454806,99.762503,10,"[4, 6, 11, 21, 26, 31, 32, 34, 39, 40]","['Burgos', 'Camargo', 'González', 'Matamoros', 'Nuevo Laredo', 'Reynosa', 'Río Bravo', 'San Fernando', 'Valle Hermoso', 'Victoria']"
0,97,54.98160757845466,127.953689,4,"[11, 23, 39, 40]","['González', 'Mier', 'Valle Hermoso', 'Victoria']"
1,1,13.762580065320183,106.008269,7,"[11, 13, 21, 32, 34, 39, 40]","['González', 'Guerrero', 'Matamoros', 'Río Bravo', 'San Fernando', 'Valle Hermoso', 'Victoria']"
1,2,57.53560466761939,176.097157,3,"[14, 36, 39]","['Gustavo Díaz Ordaz', 'Soto la Marina', 'Valle Hermoso']"
1,3,59.77113611663137,166.394431,3,"[11, 14, 34]","['González', 'Gustavo Díaz Ordaz', 'San Fernando']"
1,4,29.702325248994832,106.008269,5,"[11, 13, 32, 34, 40]","['González', 'Guerrero', 'Río Bravo', 'San Fernando', 'Victoria']"
1,5,32.56141237266288,218.757001,3,"[11, 32, 34]","['González', 'Río Bravo', 'San Fernando']"
1,6,17.352438277929657,197.327862,5,"[11, 21, 31, 32, 34]","['González', 'Matamoros', 'Reynosa', 'Río Bravo', 'San Fernando']"
1,7,39.789813631059396,197.327862,3,"[11, 31, 34]","['González', 'Reynosa', 'San Fernando']"
1,8,16.62166718898823,218.757001,5,"[11, 21, 32, 34, 39]","['González', 'Matamoros', 'Río Bravo', 'San Fernando', 'Valle Hermoso']"
