p,seed,solucion,f1_promedio_ponderado_km,f2_distancia_maxima_km,indices_centros,centros
3,9,11,57.082257357436454,190.624696,"[7, 14, 39]","['Casas', 'Gustavo Díaz Ordaz', 'Valle Hermoso']"
3,10,1,32.56141237266288,218.757001,"[11, 32, 34]","['González', 'Río Bravo', 'San Fernando']"
3,10,2,59.77113611663137,166.394431,"[11, 14, 34]","['González', 'Gustavo Díaz Ordaz', 'San Fernando']"
3,10,3,70.87439659669022,159.121441,"[6, 11, 34]","['Camargo', 'González', 'San Fernando']"
3,10,4,39.789813631059396,197.327862,"[11, 31, 34]","['González', 'Reynosa', 'San Fernando']"
3,10,5,74.24941736268339,150.277393,"[6, 34, 42]","['Camargo', 'San Fernando', 'Xicoténcatl']"
3,10,6,81.97187386326387,146.150389,"[6, 22, 42]","['Camargo', 'Méndez', 'Xicoténcatl']"
3,10,7,88.64983778054405,141.396971,"[22, 24, 42]","['Méndez', 'Miguel Alemán', 'Xicoténcatl']"
3,10,8,57.53560466761939,176.097157,"[14, 36, 39]","['Gustavo Díaz Ordaz', 'Soto la Marina', 'Valle Hermoso']"
3,10,9,57.082257357436454,190.624696,"[7, 14, 39]","['Casas', 'Gustavo Díaz Ordaz', 'Valle Hermoso']"
3,10,10,89.5044624580781,138.045942,"[20, 22, 24]","['El Mante', 'Méndez', 'Miguel Alemán']"
3,10,11,57.96026278850363,171.210441,"[14, 18, 39]","['Gustavo Díaz Ordaz', 'Llera', 'Valle Hermoso']"
3,11,1,32.56141237266288,218.757001,"[11, 32, 34]","['González', 'Río Bravo', 'San Fernando']"
3,11,2,57.082257357436454,190.624696,"[7, 14, 39]","['Casas', 'Gustavo Díaz Ordaz', 'Valle Hermoso']"
3,11,3,74.24941736268339,150.277393,"[6, 34, 42]","['Camargo', 'San Fernando', 'Xicoténcatl']"
3,11,4,88.64983778054405,141.396971,"[22, 24, 42]","['Méndez', 'Miguel Alemán', 'Xicoténcatl']"
3,11,5,81.97187386326387,146.150389,"[6, 22, 42]","['Camargo', 'Méndez', 'Xicoténcatl']"
3,11,6,70.87439659669022,159.121441,"[6, 11, 34]","['Camargo', 'González', 'San Fernando']"
3,11,7,57.96026278850363,171.210441,"[14, 18, 39]","['Gustavo Díaz Ordaz', 'Llera', 'Valle Hermoso']"
3,11,8,59.77113611663137,166.394431,"[11, 14, 34]","['González', 'Gustavo Díaz Ordaz', 'San Fernando']"
3,11,9,39.789813631059396,197.327862,"[11, 31, 34]","['González', 'Reynosa', 'San Fernando']"
3,11,10,57.53560466761939,176.097157,"[14, 36, 39]","['Gustavo Díaz Ordaz', 'Soto la Marina', 'Valle Hermoso']"
3,11,11,89.5044624580781,138.045942,"[20, 22, 24]","['El Mante', 'Méndez', 'Miguel Alemán']"
3,12,1,57.53560466761939,176.097157,"[14, 36, 39]","['Gustavo Díaz Ordaz', 'Soto la Marina', 'Valle Hermoso']"
3,12,2,57.96026278850363,171.210441,"[14, 18, 39]","['Gustavo Díaz Ordaz', 'Llera', 'Valle Hermoso']"
3,12,3,57.082257357436454,190.624696,"[7, 14, 39]","['Casas', 'Gustavo Díaz Ordaz', 'Valle Hermoso']"
3,12,4,70.87439659669022,159.121441,"[6, 11, 34]","['Camargo', 'González', 'San Fernando']"
3,12,5,39.789813631059396,197.327862,"[11, 31, 34]","['González', 'Reynosa', 'San Fernando']"
3,12,6,81.97187386326387,146.150389,"[6, 22, 42]","['Camargo', 'Méndez', 'Xicoténcatl']"
3,12,7,32.56141237266288,218.757001,"[11, 32, 34]","['González', 'Río Bravo', 'San Fernando']"
3,12,8,59.77113611663137,166.394431,"[11, 14, 34]","['González', 'Gustavo Díaz Ordaz', 'San Fernando']"
3,12,9,74.24941736268339,150.277393,"[6, 34, 42]","['Camargo', 'San Fernando', 'Xicoténcatl']"
3,12,10,89.5044624580781,138.045942,"[20, 22, 24]","['El Mante', 'Méndez', 'Miguel Alemán']"
3,12,11,88.64983778054405,141.396971,"[22, 24, 42]","['Méndez', 'Miguel Alemán', 'Xicoténcatl']"
3,13,1,32.56141237266288,218.757001,"[11, 32, 34]","['González', 'Río Bravo', 'San Fernando']"
3,13,2,81.97187386326387,146.150389,"[6, 22, 42]","['Camargo', 'Méndez', 'Xicoténcatl']"
3,13,3,39.789813631059396,197.327862,"[11, 31, 34]","['González', 'Reynosa', 'San Fernando']"
3,13,4,74.24941736268339,150.277393,"[6, 34, 42]","['Camargo', 'San Fernando', 'Xicoténcatl']"
3,13,5,89.5044624580781,138.045942,"[20, 22, 24]","['El Mante', 'Méndez', 'Miguel Alemán']"
3,13,6,88.64983778054405,141.396971,"[22, 24, 42]","['Méndez', 'Miguel Alemán', 'Xicoténcatl']"
3,13,7,57.53560466761939,176.097157,"[14, 36, 39]","['Gustavo Díaz Ordaz', 'Soto la Marina', 'Valle Hermoso']"
3,13,8,70.87439659669022,159.121441,"[6, 11, 34]","['Camargo', 'González', 'San Fernando']"
3,13,9,59.77113611663137,166.394431,"[11, 14, 34]","['González', 'Gustavo Díaz Ordaz', 'San Fernando']"
3,13,10,57.96026278850363,171.210441,"[14, 18, 39]","['Gustavo Díaz Ordaz', 'Llera', 'Valle Hermoso']"
3,13,11,57.082257357436454,190.624696,"[7, 14, 39]","['Casas', 'Gustavo Díaz Ordaz', 'Valle Hermoso']"
3,14,1,70.87439659669022,159.121441,"[6, 11, 34]","['Camargo', 'González', 'San Fernando']"
3,14,2,81.97187386326387,146.150389,"[6, 22, 42]","['Camargo', 'Méndez', 'Xicoténcatl']"
3,14,3,32.56141237266288,218.757001,"[11, 32, 34]","['González', 'Río Bravo', 'San Fernando']"
3,14,4,57.96026278850363,171.210441,"[14, 18, 39]","['Gustavo Díaz Ordaz', 'Llera', 'Valle Hermoso']"
3,14,5,39.789813631059396,197.327862,"[11, 31, 34]","['González', 'Reynosa', 'San Fernando']"
3,14,6,57.53560466761939,176.097157,"[14, 36, 39]","['Gustavo Díaz Ordaz', 'Soto la Marina', 'Valle Hermoso']"
3,14,7,57.082257357436454,190.624696,"[7, 14, 39]","['Casas', 'Gustavo Díaz Ordaz', 'Valle Hermoso']"
3,14,8,74.24941736268339,150.277393,"[6, 34, 42]","['Camargo', 'San Fernando', 'Xicoténcatl']"
3,14,9,59.77113611663137,166.394431,"[11, 14, 34]","['González', 'Gustavo Díaz Ordaz', 'San Fernando']"
3,14,10,88.64983778054405,141.396971,"[22, 24, 42]","['Méndez', 'Miguel Alemán', 'Xicoténcatl']"
3,14,11,89.5044624580781,138.045942,"[20, 22, 24]","['El Mante', 'Méndez', 'Miguel Alemán']"
3,15,1,59.77113611663137,166.394431,"[11, 14, 34]","['González', 'Gustavo Díaz Ordaz', 'San Fernando']"
3,15,2,32.56141237266288,218.757001,"[11, 32, 34]","['González', 'Río Bravo', 'San Fernando']"
3,15,3,74.24941736268339,150.277393,"[6, 34, 42]","['Camargo', 'San Fernando', 'Xicoténcatl']"
3,15,4,70.87439659669022,159.121441,"[6, 11, 34]","['Camargo', 'González', 'San Fernando']"
3,15,5,57.082257357436454,190.624696,"[7, 14, 39]","['Casas', 'Gustavo Díaz Ordaz', 'Valle Hermoso']"
3,15,6,39.789813631059396,197.327862,"[11, 31, 34]","['González', 'Reynosa', 'San Fernando']"
3,15,7,88.64983778054405,141.396971,"[22, 24, 42]","['Méndez', 'Miguel Alemán', 'Xicoténcatl']"
3,15,8,89.5044624580781,138.045942,"[20, 22, 24]","['El Mante', 'Méndez', 'Miguel Alemán']"
3,15,9,81.97187386326387,146.150389,"[6, 22, 42]","['Camargo', 'Méndez', 'Xicoténcatl']"
3,15,10,57.53560466761939,176.097157,"[14, 36, 39]","['Gustavo Díaz Ordaz', 'Soto la Marina', 'Valle Hermoso']"
3,15,11,57.96026278850363,171.210441,"[14, 18, 39]","['Gustavo Díaz Ordaz', 'Llera', 'Valle Hermoso']"
3,16,1,59.77113611663137,166.394431,"[11, 14, 34]","['González', 'Gustavo Díaz Ordaz', 'San Fernando']"
3,16,2,57.96026278850363,171.210441,"[14, 18, 39]","['Gustavo Díaz Ordaz', 'Llera', 'Valle Hermoso']"
3,16,3,39.789813631059396,197.327862,"[11, 31, 34]","['González', 'Reynosa', 'San Fernando']"
3,16,4,32.56141237266288,218.757001,"[11, 32, 34]","['González', 'Río Bravo', 'San Fernando']"
3,16,5,74.24941736268339,150.277393,"[6, 34, 42]","['Camargo', 'San Fernando', 'Xicoténcatl']"
3,16,6,70.87439659669022,159.121441,"[6, 11, 34]","['Camargo', 'González', 'San Fernando']"
3,16,7,81.97187386326387,146.150389,"[6, 22, 42]","['Camargo', 'Méndez', 'Xicoténcatl']"
3,16,8,88.64983778054405,141.396971,"[22, 24, 42]","['Méndez', 'Miguel Alemán', 'Xicoténcatl']"
3,16,9,57.082257357436454,190.624696,"[7, 14, 39]","['Casas', 'Gustavo Díaz Ordaz', 'Valle Hermoso']"
3,16,10,57.53560466761939,176.097157,"[14, 36, 39]","['Gustavo Díaz Ordaz', 'Soto la Marina', 'Valle Hermoso']"
3,16,11,89.5044624580781,138.045942,"[20, 22, 24]","['El Mante', 'Méndez', 'Miguel Alemán']"
3,17,1,88.64983778054405,141.396971,"[22, 24, 42]","['Méndez', 'Miguel Alemán', 'Xicoténcatl']"
3,17,2,81.97187386326387,146.150389,"[6, 22, 42]","['Camargo', 'Méndez', 'Xicoténcatl']"
3,17,3,74.24941736268339,150.277393,"[6, 34, 42]","['Camargo', 'San Fernando', 'Xicoténcatl']"
3,17,4,57.96026278850363,171.210441,"[14, 18, 39]","['Gustavo Díaz Ordaz', 'Llera', 'Valle Hermoso']"
3,17,5,32.56141237266288,218.757001,"[11, 32, 34]","['González', 'Río Bravo', 'San Fernando']"
3,17,6,59.77113611663137,166.394431,"[11, 14, 34]","['González', 'Gustavo Díaz Ordaz', 'San Fernando']"
3,17,7,70.87439659669022,159.121441,"[6, 11, 34]","['Camargo', 'González', 'San Fernando']"
3,17,8,39.789813631059396,197.327862,"[11, 31, 34]","['González', 'Reynosa', 'San Fernando']"
3,17,9,57.53560466761939,176.097157,"[14, 36, 39]","['Gustavo Díaz Ordaz', 'Soto la Marina', 'Valle Hermoso']"
3,17,10,89.5044624580781,138.045942,"[20, 22, 24]","['El Mante', 'Méndez', 'Miguel Alemán']"
3,17,11,57.082257357436454,190.624696,"[7, 14, 39]","['Casas', 'Gustavo Díaz Ordaz', 'Valle Hermoso']"
3,18,1,57.96026278850363,171.210441,"[14, 18, 39]","['Gustavo Díaz Ordaz', 'Llera', 'Valle Hermoso']"
3,18,2,32.56141237266288,218.757001,"[11, 32, 34]","['González', 'Río Bravo', 'San Fernando']"
3,18,3,57.53560466761939,176.097157,"[14, 36, 39]","['Gustavo Díaz Ordaz', 'Soto la Marina', 'Valle Hermoso']"
3,18,4,81.97187386326387,146.150389,"[6, 22, 42]","['Camargo', 'Méndez', 'Xicoténcatl']"
3,18,5,70.87439659669022,159.121441,"[6, 11, 34]","['Camargo', 'González', 'San Fernando']"
3,18,6,59.77113611663137,166.394431,"[11, 14, 34]","['González', 'Gustavo Díaz Ordaz', 'San Fernando']"
3,18,7,39.789813631059396,197.327862,"[11, 31, 34]","['González', 'Reynosa', 'San Fernando']"
3,18,8,74.24941736268339,150.277393,"[6, 34, 42]","['Camargo', 'San Fernando', 'Xicoténcatl']"
3,18,9,89.5044624580781,138.045942,"[20, 22, 24]","['El Mante', 'Méndez', 'Miguel Alemán']"
3,18,10,57.082257357436454,190.624696,"[7, 14, 39]","['Casas', 'Gustavo Díaz Ordaz', 'Valle Hermoso']"
3,18,11,88.64983778054405,141.396971,"[22, 24, 42]","['Méndez', 'Miguel Alemán', 'Xicoténcatl']"
3,19,1,74.24941736268339,150.277393,"[6, 34, 42]","['Camargo', 'San Fernando', 'Xicoténcatl']"
3,19,2,39.789813631059396,197.327862,"[11, 31, 34]","['González', 'Reynosa', 'San Fernando']"
3,19,3,81.97187386326387,146.150389,"[6, 22, 42]","['Camargo', 'Méndez', 'Xicoténcatl']"
3,19,4,32.56141237266288,218.757001,"[11, 32, 34]","['González', 'Río Bravo', 'San Fernando']"
3,19,5,70.87439659669022,159.121441,"[6, 11, 34]","['Camargo', 'González', 'San Fernando']"
3,19,6,88.64983778054405,141.396971,"[22, 24, 42]","['Méndez', 'Miguel Alemán', 'Xicoténcatl']"
3,19,7,59.77113611663137,166.394431,"[11, 14, 34]","['González', 'Gustavo Díaz Ordaz', 'San Fernando']"
3,19,8,57.96026278850363,171.210441,"[14, 18, 39]","['Gustavo Díaz Ordaz', 'Llera', 'Valle Hermoso']"
3,19,9,57.53560466761939,176.097157,"[14, 36, 39]","['Gustavo Díaz Ordaz', 'Soto la Marina', 'Valle Hermoso']"
3,19,10,89.5044624580781,138.045942,"[20, 22, 24]","['El Mante', 'Méndez', 'Miguel Alemán']"
3,19,11,57.082257357436454,190.624696,"[7, 14, 39]","['Casas', 'Gustavo Díaz Ordaz', 'Valle Hermoso']"
3,20,1,57.96026278850363,171.210441,"[14, 18, 39]","['Gustavo Díaz Ordaz', 'Llera', 'Valle Hermoso']"
3,20,2,57.53560466761939,176.097157,"[14, 36, 39]","['Gustavo Díaz Ordaz', 'Soto la Marina', 'Valle Hermoso']"
3,20,3,74.24941736268339,150.277393,"[6, 34, 42]","['Camargo', 'San Fernando', 'Xicoténcatl']"
3,20,4,59.77113611663137,166.394431,"[11, 14, 34]","['González', 'Gustavo Díaz Ordaz', 'San Fernando']"
3,20,5,81.97187386326387,146.150389,"[6, 22, 42]","['Camargo', 'Méndez', 'Xicoténcatl']"
3,20,6,32.56141237266288,218.757001,"[11, 32, 34]","['González', 'Río Bravo', 'San Fernando']"
3,20,7,39.789813631059396,197.327862,"[11, 31, 34]","['González', 'Reynosa', 'San Fernando']"
3,20,8,70.87439659669022,159.121441,"[6, 11, 34]","['Camargo', 'González', 'San Fernando']"
3,20,9,88.64983778054405,141.396971,"[22, 24, 42]","['Méndez', 'Miguel Alemán', 'Xicoténcatl']"
3,20,10,89.5044624580781,138.045942,"[20, 22, 24]","['El Mante', 'Méndez', 'Miguel Alemán']"
3,20,11,57.082257357436454,190.624696,"[7, 14, 39]","['Casas', 'Gustavo Díaz Ordaz', 'Valle Hermoso']"
3,21,1,57.082257357436454,190.624696,"[7, 14, 39]","['Casas', 'Gustavo Díaz Ordaz', 'Valle Hermoso']"
3,21,2,32.56141237266288,218.757001,"[11, 32, 34]","['González', 'Río Bravo', 'San Fernando']"
3,21,3,59.77113611663137,166.394431,"[11, 14, 34]","['González', 'Gustavo Díaz Ordaz', 'San Fernando']"
3,21,4,70.87439659669022,159.121441,"[6, 11, 34]","['Camargo', 'González', 'San Fernando']"
3,21,5,39.789813631059396,197.327862,"[11, 31, 34]","['González', 'Reynosa', 'San Fernando']"
3,21,6,74.24941736268339,150.277393,"[6, 34, 42]","['Camargo', 'San Fernando', 'Xicoténcatl']"
3,21,7,81.97187386326387,146.150389,"[6, 22, 42]","['Camargo', 'Méndez', 'Xicoténcatl']"
