p,seed,fitness_km,indices_centros,centros
10,17,41.6143330100468,"[29, 9, 30, 25, 21, 1, 3, 15, 5, 17]","['Padilla', 'Cruillas', 'Palmillas', 'Miquihuana', 'Matamoros', 'Aldama', 'Antiguo Morelos', 'Hidalgo', 'Bustamante', 'Jiménez']"
10,18,75.36878399212434,"[40, 30, 13, 26, 7, 41, 3, 33, 10, 14]","['Victoria', 'Palmillas', 'Guerrero', 'Nuevo Laredo', 'Casas', 'Villagrán', 'Antiguo Morelos', 'San Carlos', 'Gómez Farías', 'Gustavo Díaz Ordaz']"
10,19,55.83379254333218,"[18, 37, 13, 34, 12, 14, 10, 2, 35, 20]","['Llera', 'Tampico', 'Guerrero', 'San Fernando', 'Güémez', 'Gustavo Díaz Ordaz', 'Gómez Farías', 'Altamira', 'San Nicolás', 'El Mante']"
10,20,29.5651327842751,"[39, 9, 35, 4, 34, 42, 21, 10, 30, 17]","['Valle Hermoso', 'Cruillas', 'San Nicolás', 'Burgos', 'San Fernando', 'Xicoténcatl', 'Matamoros', 'Gómez Farías', 'Palmillas', 'Jiménez']"
10,21,43.29535209658582,"[17, 3, 22, 42, 10, 38, 13, 27, 12, 39]","['Jiménez', 'Antiguo Morelos', 'Méndez', 'Xicoténcatl', 'Gómez Farías', 'Tula', 'Guerrero', 'Nuevo Morelos', 'Güémez', 'Valle Hermoso']"
10,22,106.17778601325179,"[10, 40, 7, 26, 35, 19, 3, 23, 0, 12]","['Gómez Farías', 'Victoria', 'Casas', 'Nuevo Laredo', 'San Nicolás', 'Mainero', 'Antiguo Morelos', 'Mier', 'Abasolo', 'Güémez']"
10,23,45.28767984996714,"[41, 10, 15, 1, 5, 28, 24, 23, 4, 39]","['Villagrán', 'Gómez Farías', 'Hidalgo', 'Aldama', 'Bustamante', 'Ocampo', 'Miguel Alemán', 'Mier', 'Burgos', 'Valle Hermoso']"
10,24,62.132811475818905,"[11, 20, 14, 17, 13, 27, 5, 29, 24, 22]","['González', 'El Mante', 'Gustavo Díaz Ordaz', 'Jiménez', 'Guerrero', 'Nuevo Morelos', 'Bustamante', 'Padilla', 'Miguel Alemán', 'Méndez']"
10,25,48.7599100909056,"[6, 8, 17, 15, 42, 0, 21, 30, 5, 38]","['Camargo', 'Ciudad Madero', 'Jiménez', 'Hidalgo', 'Xicoténcatl', 'Abasolo', 'Matamoros', 'Palmillas', 'Bustamante', 'Tula']"
10,26,19.871214918381032,"[19, 2, 17, 8, 29, 39, 32, 40, 34, 14]","['Mainero', 'Altamira', 'Jiménez', 'Ciudad Madero', 'Padilla', 'Valle Hermoso', 'Río Bravo', 'Victoria', 'San Fernando', 'Gustavo Díaz Ordaz']"
10,27,89.89990876864742,"[7, 11, 37, 40, 23, 18, 0, 4, 13, 24]","['Casas', 'González', 'Tampico', 'Victoria', 'Mier', 'Llera', 'Abasolo', 'Burgos', 'Guerrero', 'Miguel Alemán']"
10,28,29.431808130799507,"[22, 1, 32, 38, 31, 29, 30, 2, 7, 6]","['Méndez', 'Aldama', 'Río Bravo', 'Tula', 'Reynosa', 'Padilla', 'Palmillas', 'Altamira', 'Casas', 'Camargo']"
10,29,45.66954195948571,"[8, 10, 20, 26, 1, 24, 21, 18, 31, 5]","['Ciudad Madero', 'Gómez Farías', 'El Mante', 'Nuevo Laredo', 'Aldama', 'Miguel Alemán', 'Matamoros', 'Llera', 'Reynosa', 'Bustamante']"
